default 20.555
time(min),temperature(C)
1282, 15.550
1283, 15.650
1284, 15.750
1285, 15.833
1286, 15.933
1287, 16.017
1288, 16.167
1289, 15.350
1290, 15.117
1291, 15.033
1292, 14.983
1293, 14.900
1294, 15.000
1295, 15.133
1296, 15.233
1297, 15.333
1298, 15.433
1299, 15.517
1300, 15.617
1301, 15.717
1302, 15.800
1303, 15.900
1304, 16.583
1305, 15.167
1306, 14.983
1307, 14.900
1308, 14.983
1309, 15.133
1310, 15.233
1311, 15.350
1312, 15.500
1313, 15.617
1314, 15.717
1315, 15.817
1316, 15.950
1317, 16.067
1318, 16.167
1319, 15.600
1320, 14.967
1321, 14.967
1322, 14.900
1323, 15.033
1324, 15.167
1325, 15.267
1326, 15.417
1327, 15.550
1328, 15.683
1329, 15.817
1330, 15.917
1331, 16.050
1332, 16.150
1333, 16.283
1334, 16.383
1335, 15.367
1336, 14.967
1337, 14.917
1338, 14.900
1339, 14.917
1340, 14.900
1341, 14.933
1342, 15.067
1343, 15.250
1344, 15.367
1345, 15.500
1346, 15.633
1347, 15.767
1348, 15.883
1349, 16.017
1350, 16.133
1351, 16.250
1352, 16.383
1353, 16.483
1354, 16.583
1355, 16.683
1356, 16.817
1357, 16.900
1358, 17.017
1359, 17.133
1360, 17.250
1361, 17.333
1362, 17.467
1363, 17.567
1364, 17.700
1365, 17.833
1366, 17.950
1367, 18.067
1368, 18.233
1369, 18.367
1370, 18.483
1371, 18.633
1372, 18.750
1373, 18.867
1374, 19.017
1375, 19.167
1376, 19.333
1377, 19.467
1378, 19.600
1379, 19.767
1380, 19.900
1381, 20.050
1382, 20.200
1383, 20.333
1384, 20.467
1385, 20.617
1386, 20.733
1387, 20.850
1388, 20.983
1389, 21.100
1390, 21.233
1391, 21.333
1392, 21.433
1393, 21.550
1394, 21.667
1395, 21.767
1396, 21.867
1397, 21.967
1398, 22.050
1399, 22.133
1400, 22.217
1401, 22.300
1402, 22.400
1403, 22.467
1404, 22.517
1405, 22.600
1406, 22.700
1407, 22.750
1408, 22.817
1409, 22.900
1410, 22.983
1411, 23.033
1412, 23.100
1413, 23.167
1414, 23.233
1415, 23.300
1416, 23.350
1417, 23.400
1418, 23.467
1419, 23.500
1420, 23.533
1421, 23.600
1422, 23.600
1423, 23.683
1424, 23.700
1425, 23.783
1426, 23.800
1427, 23.833
1428, 23.900
1429, 23.933
1430, 24.000
1431, 24.000
1432, 24.033
1433, 24.100
1434, 24.100
1435, 24.100
1436, 24.183
1437, 24.200
1438, 24.200
1439, 24.200
