"minutes","test","model","flow","inputPower","outputPower","tcouples1","tcouples2","tcouples3","tcouples4","tcouples5","tcouples6","aveTankTemp","type"
151,"DOE_24hr0","Sanden80",0,0,0,57.60194,56.99534,119.09138,147.76844,147.76844,147.76844,112.83233,"Simulated"
152,"DOE_24hr0","Sanden80",0,0,0,57.59492,56.98814,119.08418,147.76124,147.76124,147.76124,112.82516,"Simulated"
153,"DOE_24hr0","Sanden80",0,0,0,57.58772,56.98094,119.07698,147.75404,147.75404,147.75404,112.81796,"Simulated"
154,"DOE_24hr0","Sanden80",0,0,0,57.58052,56.97392,119.06996,147.74684,147.74684,147.74684,112.81082,"Simulated"
155,"DOE_24hr0","Sanden80",0,0,0,57.57332,56.96672,119.06276,147.73964,147.73964,147.73964,112.80362,"Simulated"
156,"DOE_24hr0","Sanden80",0,0,0,57.5663,56.95952,119.05556,147.73262,147.73262,147.73262,112.79654,"Simulated"
157,"DOE_24hr0","Sanden80",0,0,0,57.5591,56.95232,119.04836,147.72542,147.72542,147.72542,112.78934,"Simulated"
158,"DOE_24hr0","Sanden80",0,0,0,57.5519,56.9453,119.04134,147.71822,147.71822,147.71822,112.7822,"Simulated"
159,"DOE_24hr0","Sanden80",0,0,0,57.5447,56.9381,119.03414,147.71102,147.71102,147.71102,112.775,"Simulated"
160,"DOE_24hr0","Sanden80",0,0,0,57.53768,56.9309,119.02694,147.704,147.704,147.704,112.76792,"Simulated"
161,"DOE_24hr0","Sanden80",0,0,0,57.53048,56.9237,119.01974,147.6968,147.6968,147.6968,112.76072,"Simulated"
162,"DOE_24hr0","Sanden80",0,0,0,57.52328,56.91668,119.01272,147.6896,147.6896,147.6896,112.75358,"Simulated"
163,"DOE_24hr0","Sanden80",0,0,0,57.51608,56.90948,119.00552,147.68258,147.68258,147.68258,112.74647,"Simulated"
164,"DOE_24hr0","Sanden80",0,0,0,57.50906,56.90228,118.99832,147.67538,147.67538,147.67538,112.7393,"Simulated"
165,"DOE_24hr0","Sanden80",0,0,0,57.50186,56.89526,118.99112,147.66818,147.66818,147.66818,112.73213,"Simulated"
166,"DOE_24hr0","Sanden80",0,0,0,57.49466,56.88806,118.9841,147.66098,147.66098,147.66098,112.72496,"Simulated"
167,"DOE_24hr0","Sanden80",0,0,0,57.48746,56.88086,118.9769,147.65396,147.65396,147.65396,112.71785,"Simulated"
168,"DOE_24hr0","Sanden80",0,0,0,57.48044,56.87366,118.9697,147.64676,147.64676,147.64676,112.71068,"Simulated"
169,"DOE_24hr0","Sanden80",0,0,0,57.47324,56.86664,118.96268,147.63956,147.63956,147.63956,112.70354,"Simulated"
170,"DOE_24hr0","Sanden80",0,0,0,57.46604,56.85944,118.95548,147.63236,147.63236,147.63236,112.69634,"Simulated"
171,"DOE_24hr0","Sanden80",0,0,0,57.45902,56.85224,118.94828,147.62534,147.62534,147.62534,112.68926,"Simulated"
172,"DOE_24hr0","Sanden80",0,0,0,57.45182,56.84522,118.94108,147.61814,147.61814,147.61814,112.68209,"Simulated"
173,"DOE_24hr0","Sanden80",0,0,0,57.44462,56.83802,118.93406,147.61094,147.61094,147.61094,112.67492,"Simulated"
174,"DOE_24hr0","Sanden80",0,0,0,57.43742,56.83082,118.92686,147.60392,147.60392,147.60392,112.66781,"Simulated"
175,"DOE_24hr0","Sanden80",0,0,0,57.4304,56.82362,118.91966,147.59672,147.59672,147.59672,112.66064,"Simulated"
176,"DOE_24hr0","Sanden80",0,0,0,57.4232,56.8166,118.91264,147.58952,147.58952,147.58952,112.6535,"Simulated"
177,"DOE_24hr0","Sanden80",0,0,0,57.416,56.8094,118.90544,147.58232,147.58232,147.58232,112.6463,"Simulated"
178,"DOE_24hr0","Sanden80",0,0,0,57.40898,56.8022,118.89824,147.5753,147.5753,147.5753,112.63922,"Simulated"
179,"DOE_24hr0","Sanden80",0,0,0,57.40178,56.79518,118.89122,147.5681,147.5681,147.5681,112.63208,"Simulated"
180,"DOE_24hr0","Sanden80",0,0,0,57.39458,56.78798,118.88402,147.5609,147.5609,147.5609,112.62488,"Simulated"
181,"DOE_24hr0","Sanden80",2.35,0,0,57.53624,56.87222,103.4456,147.55406,147.55406,147.55406,110.08604,"Simulated"
182,"DOE_24hr0","Sanden80",3,0,0,57.65198,57.0434,83.75234,147.54128,147.54722,147.54722,106.84724,"Simulated"
183,"DOE_24hr0","Sanden80",3,0,0,57.74,57.18038,65.60888,146.04296,147.54056,147.54056,103.60889,"Simulated"
184,"DOE_24hr0","Sanden80",2.35,0,0,57.8075,57.2576,58.13636,138.1568,147.53426,147.53426,101.07113,"Simulated"
185,"DOE_24hr0","Sanden80",0,0,0,57.8012,57.25112,58.13006,138.1505,147.52778,147.52778,101.06474,"Simulated"
186,"DOE_24hr0","Sanden80",0,0,0,57.79472,57.24464,58.12358,138.14402,147.52148,147.52148,101.05832,"Simulated"
